100 1000
-40 -100 4 
-88 -18 -46 
-81 -51 76 
90 43 70 
-58 82 13 
-43 -39 -34 
-69 -78 98 
-78 15 100 
41 12 -1 
-85 -12 -40 
91 -24 51 
6 99 44 
86 -8 76 
-92 -64 73 
67 -71 -44 
-30 57 83 
-38 64 62 
6 83 -11 
-6 -31 -12 
-33 -57 42 
-92 5 -93 
-41 4 11 
66 -54 97 
-4 80 -27 
86 64 19 
-27 -34 -59 
-98 -41 29 
45 27 -52 
-32 56 -40 
-53 -53 71 
74 -39 10 
-100 -81 -41 
56 38 77 
-9 43 59 
81 29 55 
100 -88 39 
49 16 -79 
64 -69 -85 
-43 -83 -82 
-19 -44 69 
-81 20 -13 
-9 50 -91 
-86 52 10 
21 56 18 
40 -35 42 
-51 80 71 
72 -49 63 
29 39 31 
-38 -97 90 
-60 -29 -5 
-77 83 23 
60 1 -88 
57 -69 26 
10 7 -38 
-49 90 100 
59 71 -92 
21 95 68 
94 -27 65 
42 24 -90 
-68 -76 -20 
-64 -84 -96 
-1 99 57 
77 -16 33 
-23 65 -20 
83 28 71 
46 -29 62 
-99 62 25 
-98 -57 -29 
-8 31 46 
97 12 -74 
-63 -63 -5 
86 57 -47 
-65 -24 -54 
82 -73 -44 
67 32 2 
-85 2 82 
59 74 -17 
-68 -24 -38 
-23 -18 -20 
-5 95 36 
-83 10 -77 
-8 96 -15 
-65 19 44 
54 73 91 
33 -32 -68 
-89 16 88 
-92 9 37 
44 20 -51 
-64 -97 13 
33 -45 59 
34 -98 -81 
83 -8 5 
-7 7 -24 
-25 73 14 
10 -44 -41 
57 -23 10 
-81 58 60 
-50 46 -65 
19 52 -92 
-57 -60 97 
-53 -8 -62 
4 -33 -37 
-21 -31 -61 
-42 -65 21 
-69 44 2 
-43 -39 82 
7 8 -74 
32 60 25 
11 97 -5 
-4 -41 33 
-3 -17 -24 
2 -92 -97 
-25 91 -72 
21 20 -51 
98 -43 -32 
37 45 -23 
50 56 16 
-2 -72 -12 
-58 -39 63 
68 -24 -30 
-81 -35 -37 
84 -20 -79 
12 79 -20 
91 -22 -56 
37 -80 51 
-98 84 -30 
-26 83 28 
22 63 -54 
90 -76 -39 
-67 -18 -28 
14 12 63 
-38 -22 97 
-3 -77 -84 
5 -63 -41 
80 99 -13 
76 -75 -29 
8 -6 -85 
-17 -85 -24 
-78 -57 62 
4 -71 50 
-68 -34 -1 
-63 -64 -77 
47 -47 -42 
-92 44 38 
61 70 43 
-75 92 -70 
-41 65 19 
42 -89 -31 
39 -84 54 
-71 -1 -99 
-40 -79 -74 
71 -7 -15 
-21 -84 28 
51 52 -81 
-29 -75 -41 
26 -97 -66 
-32 -96 -77 
-56 71 -30 
7 -98 -41 
-12 44 -53 
-60 -1 -36 
88 72 56 
-56 56 18 
50 -43 81 
58 34 26 
-81 24 94 
-6 -80 7 
35 15 -23 
64 -47 37 
-30 19 -43 
26 28 25 
-5 -49 -39 
21 8 -80 
-49 1 -65 
1 39 -21 
-90 -64 18 
41 56 -73 
8 35 21 
20 -75 20 
27 38 -65 
-12 -70 -77 
20 88 56 
-81 100 17 
96 -100 -51 
-22 -87 -8 
-96 -75 98 
62 -11 14 
-46 -46 -72 
-25 2 -57 
-15 93 18 
-75 29 1 
2 69 -47 
-52 15 -42 
-32 -25 79 
-40 14 -29 
52 2 12 
-36 72 -85 
-95 76 -22 
-73 15 -71 
71 -91 -14 
64 28 -47 
-38 67 93 
-64 64 -84 
-52 59 5 
-43 -34 27 
-93 -31 -79 
89 60 -69 
-12 8 88 
96 -5 91 
95 -84 -98 
-86 43 -56 
-38 -69 88 
-90 -73 -91 
43 -61 -26 
54 -36 96 
-52 -85 83 
15 72 40 
75 -18 84 
-43 21 75 
-94 -49 35 
38 -58 -71 
-42 68 -44 
-80 -57 2 
-1 -84 -9 
70 -26 -67 
12 -48 -5 
2 -88 -17 
-71 -13 -65 
66 -87 -8 
-28 92 -31 
27 10 32 
83 -81 -30 
-5 -60 -4 
-35 87 17 
92 1 -19 
59 54 7 
21 -15 -32 
-65 9 29 
17 12 18 
59 37 28 
45 31 81 
38 -26 -43 
41 -70 55 
-42 85 70 
26 -18 -42 
59 98 85 
33 25 40 
-25 36 -92 
-35 35 -61 
93 -40 -47 
87 -51 -29 
-28 36 -46 
80 -43 -49 
-7 55 -58 
-86 -21 -9 
-20 89 97 
12 83 29 
30 -82 77 
64 -36 74 
-7 23 78 
-19 4 -78 
-18 35 80 
-40 77 86 
60 -24 -59 
-80 50 44 
77 -93 80 
79 41 97 
80 37 75 
-84 -94 96 
74 74 -36 
39 44 66 
-92 -53 -14 
38 -29 4 
-80 5 -42 
17 -87 56 
42 -92 53 
2 27 -37 
-51 -29 -25 
12 3 -51 
95 -24 73 
90 96 -8 
-23 51 24 
-19 -28 -14 
-12 -47 -78 
65 73 -5 
-40 -24 69 
-17 -26 -51 
83 85 36 
-22 -25 -65 
43 79 -61 
95 -59 -67 
23 47 -4 
-53 34 -83 
-86 52 63 
5 22 -66 
-82 -100 17 
33 30 75 
15 -4 100 
54 46 24 
66 84 38 
-22 -18 12 
-60 -55 -42 
15 -73 -32 
15 -65 -90 
62 79 -7 
86 18 36 
-88 52 -15 
-40 72 82 
-7 -32 -87 
-72 -57 -37 
36 -81 70 
-45 79 57 
-80 66 -94 
-90 39 -39 
87 71 53 
80 -99 -98 
-75 -28 -14 
-26 80 -71 
29 75 -72 
24 53 -15 
31 -64 -37 
-75 -69 46 
58 56 -17 
6 -72 -58 
49 88 -25 
-52 61 6 
59 14 -33 
-75 -33 78 
-24 69 -85 
-67 -27 -39 
-77 -30 -97 
-92 88 -94 
-39 26 -48 
-69 -22 -19 
43 -38 -94 
-92 -83 -27 
98 -28 79 
-34 3 82 
3 29 15 
15 83 -41 
-75 78 -71 
97 -56 92 
-37 76 -38 
-93 -48 43 
78 62 -50 
-57 -40 36 
46 94 79 
-96 -5 -100 
35 -35 41 
-97 7 -23 
-4 93 -45 
-51 -36 -1 
36 -63 4 
44 -86 7 
54 -90 92 
-71 -97 -72 
-65 -31 -14 
89 -48 38 
24 60 -85 
54 -76 19 
-4 -13 -92 
-2 -4 -99 
-67 -61 -43 
36 -93 63 
-58 -65 -30 
-75 -95 -18 
1 10 3 
82 42 99 
4 -24 -76 
97 -78 77 
-61 58 53 
-9 -64 76 
67 -85 91 
-88 91 -45 
88 42 -63 
-54 -77 58 
68 -2 24 
72 -27 58 
-19 -57 -86 
-20 41 79 
-46 96 -16 
32 26 90 
-53 -1 -45 
-95 72 -46 
22 -41 60 
-41 8 67 
7 80 94 
-57 -1 -43 
-35 -22 60 
100 -69 6 
94 -95 16 
11 -8 11 
97 -58 -96 
-51 -46 -76 
-97 61 -85 
-94 -37 30 
21 85 77 
-53 -61 69 
-100 9 -75 
-29 72 90 
-64 -33 2 
-74 -2 -96 
56 -84 38 
41 -59 -55 
-4 96 8 
-60 25 -48 
-37 95 -35 
-92 -61 74 
-80 -23 18 
28 -23 -74 
-20 -65 -90 
-42 -1 65 
3 -82 17 
-69 45 -3 
30 -24 -52 
-57 -6 -68 
33 -27 -24 
16 22 -59 
-1 30 -31 
-6 -68 -37 
30 -48 -82 
-33 -96 -98 
35 -60 80 
49 -17 2 
-31 72 -84 
6 55 57 
-35 19 -73 
63 -44 60 
25 -12 -53 
-14 -70 100 
9 27 47 
-4 -70 15 
-28 92 -32 
-91 -15 74 
66 -29 -65 
-52 -34 -19 
-66 94 -45 
89 -56 62 
-100 63 27 
54 29 39 
-65 -95 -79 
-41 40 89 
37 90 45 
-78 53 -64 
22 -18 51 
-67 -69 -97 
-49 60 42 
60 -63 52 
17 -32 -76 
-43 -80 84 
87 36 -29 
71 -29 52 
77 22 -1 
-54 94 71 
-94 -57 -18 
-45 46 -53 
-71 -20 -22 
-21 50 -11 
-94 -89 -69 
67 -31 -85 
-43 -85 36 
40 -52 -56 
-22 -44 -95 
-14 72 -90 
-13 92 15 
50 -16 100 
79 -71 -92 
-56 22 -38 
-59 -87 76 
73 -19 88 
-11 -36 15 
-7 83 69 
29 91 -38 
-98 36 2 
-23 98 11 
94 -5 16 
-81 44 -70 
-37 51 54 
44 12 -66 
-63 72 -30 
-62 -5 6 
6 14 57 
86 -89 17 
1 -97 -92 
46 -97 -71 
-33 38 -40 
-73 1 -32 
31 -35 -19 
46 50 -96 
-77 75 50 
20 -23 -27 
60 -50 18 
-40 94 -8 
-3 -21 39 
86 27 53 
-81 -14 36 
2 50 -67 
-35 47 -15 
-54 -94 -6 
80 2 -43 
37 -73 -13 
42 92 -7 
-78 -91 91 
12 -72 -88 
-53 26 25 
-75 99 -50 
-55 100 59 
51 90 29 
79 -40 -34 
81 70 -69 
-8 30 9 
53 -86 86 
9 -21 40 
53 73 32 
-79 -59 -86 
44 77 -88 
-51 -40 -39 
19 85 -39 
-1 -16 -86 
64 -28 -55 
-95 -63 -14 
89 4 -41
